epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1043.37,1.68886,2.77251,1.55818,0.50402,0.52166,0.43723,0.31343,1.11387,2.28823,1.24439,0.000476218,0.000476218,0.000476218
2,2431.41,1.624,2.02558,1.5095,0.6862,0.59546,0.67656,0.49149,1.11547,1.57205,1.25544,0.000933691,0.000933691,0.000933691
3,3668.97,1.60017,1.88729,1.50185,0.73568,0.61765,0.70846,0.52808,1.04159,1.34891,1.2011,0.0013723,0.0013723,0.0013723
4,4845.52,1.56722,1.75602,1.47357,0.70139,0.64367,0.70263,0.53336,1.02193,1.27158,1.19048,0.00134412,0.00134412,0.00134412
5,8725.85,1.52943,1.63341,1.45572,0.75352,0.69535,0.75901,0.57681,0.96889,1.16086,1.15643,0.00131582,0.00131582,0.00131582
6,9851.31,1.50155,1.56518,1.43985,0.82023,0.67592,0.78266,0.60695,0.93609,1.12857,1.14578,0.00128753,0.00128753,0.00128753
